rev_id,num_workers_labelling_yes,num_workers_labelling_no,num_workers_disagree,total_labellers,percent_disagree
89320,4,5,4.0,9,0.4444444444444444
155243,2,7,2.0,9,0.2222222222222222
192579,1,7,1.0,8,0.125
249432,2,8,2.0,10,0.2
290598,3,15,3.0,18,0.16666666666666666
375422,2,8,2.0,10,0.2
398923,1,9,1.0,10,0.1
554005,3,16,3.0,19,0.15789473684210525
569192,1,18,1.0,19,0.05263157894736842
622095,6,14,6.0,20,0.3
633526,1,8,1.0,9,0.1111111111111111
661509,1,8,1.0,9,0.1111111111111111
680470,1,18,1.0,19,0.05263157894736842
694840,7,12,7.0,19,0.3684210526315789
801279,5,4,4.0,9,0.4444444444444444
804607,1,9,1.0,10,0.1
833825,1,9,1.0,10,0.1
849920,2,17,2.0,19,0.10526315789473684
916927,1,18,1.0,19,0.05263157894736842
1064649,1,8,1.0,9,0.1111111111111111
1078839,2,8,2.0,10,0.2
1126594,1,18,1.0,19,0.05263157894736842
1133583,1,9,1.0,10,0.1
1173977,2,7,2.0,9,0.2222222222222222
1185345,1,19,1.0,20,0.05
1221055,2,7,2.0,9,0.2222222222222222
1240138,3,6,3.0,9,0.3333333333333333
1250844,1,18,1.0,19,0.05263157894736842
1271243,2,7,2.0,9,0.2222222222222222
1274893,1,18,1.0,19,0.05263157894736842
1319467,8,12,8.0,20,0.4
1378881,1,8,1.0,9,0.1111111111111111
1399397,2,17,2.0,19,0.10526315789473684
1445262,2,8,2.0,10,0.2
1450441,4,6,4.0,10,0.4
1502668,3,6,3.0,9,0.3333333333333333
1511787,1,17,1.0,18,0.05555555555555555
1514095,1,16,1.0,17,0.058823529411764705
1571456,1,8,1.0,9,0.1111111111111111
1688728,3,7,3.0,10,0.3
1710587,5,15,5.0,20,0.25
1739728,1,8,1.0,9,0.1111111111111111
1766005,1,17,1.0,18,0.05555555555555555
1822867,1,18,1.0,19,0.05263157894736842
1842885,2,7,2.0,9,0.2222222222222222
1958817,1,9,1.0,10,0.1
2019031,1,18,1.0,19,0.05263157894736842
2200466,4,16,4.0,20,0.2
2205553,1,7,1.0,8,0.125
2314562,1,9,1.0,10,0.1
2336156,2,17,2.0,19,0.10526315789473684
2337410,1,9,1.0,10,0.1
2339911,1,8,1.0,9,0.1111111111111111
2434442,1,18,1.0,19,0.05263157894736842
2492647,1,18,1.0,19,0.05263157894736842
2606162,1,18,1.0,19,0.05263157894736842
2628839,1,8,1.0,9,0.1111111111111111
2637993,1,16,1.0,17,0.058823529411764705
2644049,2,8,2.0,10,0.2
2727211,2,18,2.0,20,0.1
2807850,1,9,1.0,10,0.1
2809532,1,8,1.0,9,0.1111111111111111
2822026,1,9,1.0,10,0.1
2825604,1,17,1.0,18,0.05555555555555555
2930834,1,19,1.0,20,0.05
2942923,1,8,1.0,9,0.1111111111111111
2991403,1,19,1.0,20,0.05
3043866,1,18,1.0,19,0.05263157894736842
