rev_id,num_workers_labelling_yes,num_workers_labelling_no,num_workers_disagree,total_labellers,percent_disagree
2232.0,1,9,1.0,10,0.1
28959.0,2,8,2.0,10,0.2
35367.0,1,9,1.0,10,0.1
37330.0,3,7,3.0,10,0.3
37346.0,1,9,1.0,10,0.1
37675.0,2,8,2.0,10,0.2
91460.0,1,9,1.0,10,0.1
109914.0,1,9,1.0,10,0.1
114890.0,1,9,1.0,10,0.1
132491.0,1,9,1.0,10,0.1
225277.0,1,9,1.0,10,0.1
250290.0,1,9,1.0,10,0.1
258303.0,1,9,1.0,10,0.1
279420.0,1,9,1.0,10,0.1
285223.0,1,9,1.0,10,0.1
297866.0,1,9,1.0,10,0.1
360594.0,2,8,2.0,10,0.2
369632.0,1,9,1.0,10,0.1
452612.0,1,9,1.0,10,0.1
460704.0,3,8,3.0,11,0.2727272727272727
482033.0,2,8,2.0,10,0.2
529575.0,1,9,1.0,10,0.1
570342.0,1,9,1.0,10,0.1
581297.0,1,9,1.0,10,0.1
593987.0,2,8,2.0,10,0.2
597212.0,6,4,4.0,10,0.4
608166.0,2,8,2.0,10,0.2
623718.0,1,9,1.0,10,0.1
630630.0,1,9,1.0,10,0.1
639419.0,1,9,1.0,10,0.1
659391.0,2,8,2.0,10,0.2
661509.0,1,9,1.0,10,0.1
672149.0,1,9,1.0,10,0.1
672191.0,1,9,1.0,10,0.1
673906.0,1,9,1.0,10,0.1
682829.0,5,5,5.0,10,0.5
707010.0,1,9,1.0,10,0.1
712490.0,1,9,1.0,10,0.1
732895.0,1,9,1.0,10,0.1
749900.0,1,9,1.0,10,0.1
757206.0,1,9,1.0,10,0.1
761965.0,1,9,1.0,10,0.1
773674.0,2,8,2.0,10,0.2
782604.0,2,8,2.0,10,0.2
783481.0,4,6,4.0,10,0.4
785036.0,1,9,1.0,10,0.1
787425.0,3,7,3.0,10,0.3
789508.0,2,8,2.0,10,0.2
790462.0,1,9,1.0,10,0.1
820504.0,1,9,1.0,10,0.1
856388.0,1,9,1.0,10,0.1
857940.0,1,9,1.0,10,0.1
876815.0,1,9,1.0,10,0.1
907008.0,1,9,1.0,10,0.1
981476.0,2,8,2.0,10,0.2
986199.0,2,8,2.0,10,0.2
1027666.0,1,9,1.0,10,0.1
1064037.0,2,8,2.0,10,0.2
1133583.0,3,7,3.0,10,0.3
1139051.0,1,9,1.0,10,0.1
1146485.0,1,9,1.0,10,0.1
1171026.0,2,8,2.0,10,0.2
1182442.0,1,9,1.0,10,0.1
1185061.0,1,9,1.0,10,0.1
1220248.0,1,9,1.0,10,0.1
1229123.0,1,9,1.0,10,0.1
1238726.0,1,9,1.0,10,0.1
1245501.0,1,9,1.0,10,0.1
1254306.0,2,8,2.0,10,0.2
1266286.0,6,4,4.0,10,0.4
1274199.0,1,9,1.0,10,0.1
1290459.0,1,9,1.0,10,0.1
1294384.0,4,6,4.0,10,0.4
1305406.0,3,7,3.0,10,0.3
1311822.0,1,9,1.0,10,0.1
1314902.0,2,8,2.0,10,0.2
1332551.0,1,9,1.0,10,0.1
1337346.0,1,9,1.0,10,0.1
1347368.0,1,9,1.0,10,0.1
1354074.0,1,9,1.0,10,0.1
1455567.0,1,9,1.0,10,0.1
1502668.0,7,1,1.0,8,0.125
1522602.0,1,9,1.0,10,0.1
1557225.0,1,12,1.0,13,0.07692307692307693
1585779.0,1,9,1.0,10,0.1
1624822.0,2,8,2.0,10,0.2
1626490.0,1,9,1.0,10,0.1
1629096.0,2,8,2.0,10,0.2
1630414.0,1,9,1.0,10,0.1
1674898.0,3,7,3.0,10,0.3
1680287.0,1,9,1.0,10,0.1
1684735.0,1,9,1.0,10,0.1
1686251.0,1,9,1.0,10,0.1
1697540.0,1,9,1.0,10,0.1
1735419.0,1,9,1.0,10,0.1
1739728.0,4,6,4.0,10,0.4
1774274.0,1,9,1.0,10,0.1
1822506.0,3,7,3.0,10,0.3
1851273.0,2,8,2.0,10,0.2
1890555.0,1,9,1.0,10,0.1
1900616.0,2,8,2.0,10,0.2
1985687.0,1,9,1.0,10,0.1
2084821.0,4,6,4.0,10,0.4
2120624.0,2,8,2.0,10,0.2
2137625.0,2,8,2.0,10,0.2
2145938.0,3,8,3.0,11,0.2727272727272727
2149180.0,2,8,2.0,10,0.2
2187425.0,8,2,2.0,10,0.2
2201361.0,2,8,2.0,10,0.2
2249149.0,1,9,1.0,10,0.1
2255619.0,1,9,1.0,10,0.1
2277799.0,1,9,1.0,10,0.1
2318896.0,3,7,3.0,10,0.3
2337738.0,1,9,1.0,10,0.1
2372202.0,1,9,1.0,10,0.1
2405082.0,1,9,1.0,10,0.1
2452675.0,1,9,1.0,10,0.1
2456044.0,2,8,2.0,10,0.2
2457254.0,1,9,1.0,10,0.1
2531936.0,1,9,1.0,10,0.1
2545090.0,2,8,2.0,10,0.2
2615801.0,2,8,2.0,10,0.2
2639885.0,1,9,1.0,10,0.1
2681549.0,1,9,1.0,10,0.1
2700088.0,1,9,1.0,10,0.1
2702368.0,1,9,1.0,10,0.1
2731564.0,1,9,1.0,10,0.1
2740772.0,1,9,1.0,10,0.1
2741341.0,2,8,2.0,10,0.2
2776726.0,1,9,1.0,10,0.1
2795559.0,3,7,3.0,10,0.3
2822029.0,3,7,3.0,10,0.3
2866758.0,1,9,1.0,10,0.1
2876112.0,1,9,1.0,10,0.1
2878618.0,1,9,1.0,10,0.1
2924314.0,1,9,1.0,10,0.1
2931317.0,1,9,1.0,10,0.1
2943219.0,2,8,2.0,10,0.2
2943468.0,2,8,2.0,10,0.2
2955662.0,2,8,2.0,10,0.2
2972894.0,1,9,1.0,10,0.1
3005589.0,2,8,2.0,10,0.2
3123828.0,1,9,1.0,10,0.1
3129678.0,6,4,4.0,10,0.4
3139001.0,2,8,2.0,10,0.2
3194749.0,1,9,1.0,10,0.1
3195993.0,3,7,3.0,10,0.3
3197740.0,1,9,1.0,10,0.1
3206615.0,2,8,2.0,10,0.2
3320767.0,1,9,1.0,10,0.1
3332539.0,1,9,1.0,10,0.1
3333013.0,1,9,1.0,10,0.1
3346831.0,1,9,1.0,10,0.1
3350617.0,4,6,4.0,10,0.4
3405013.0,1,9,1.0,10,0.1
3427333.0,6,4,4.0,10,0.4
3512261.0,1,9,1.0,10,0.1
3531359.0,4,6,4.0,10,0.4
3569538.0,3,7,3.0,10,0.3
3578859.0,2,8,2.0,10,0.2
3634595.0,3,7,3.0,10,0.3
3642824.0,1,9,1.0,10,0.1
3663314.0,1,9,1.0,10,0.1
3665348.0,5,5,5.0,10,0.5
3674438.0,3,7,3.0,10,0.3
3720366.0,1,9,1.0,10,0.1
3721964.0,5,6,5.0,11,0.45454545454545453
3758233.0,2,8,2.0,10,0.2
3788166.0,1,9,1.0,10,0.1
3803199.0,8,2,2.0,10,0.2
3805523.0,1,9,1.0,10,0.1
